dt,SalesAmount,ReturnAmount,NetRevenue,NumInvoices
2009-12-01,54513.5,1340.47,53173.03,158
2009-12-02,63352.51,588.92,62763.59,128
2009-12-03,74037.91,5944.86,68093.05,139
2009-12-04,40732.92,386.52,40346.4,103
2009-12-05,9803.05,0.0,9803.05,30
2009-12-06,24613.64,296.44,24317.2,90
2009-12-07,45083.35,746.33,44337.02,115
2009-12-08,49517.23,5774.09,43743.14,165
2009-12-09,40616.09,219.54,40396.55,98
2009-12-10,44442.11,1099.63,43342.48,120
2009-12-11,39659.6,1234.68,38424.92,118
2009-12-13,22313.09,247.1,22065.99,77
2009-12-14,73327.66,429.42,72898.24,112
2009-12-15,50340.24,2703.58,47636.66,110
2009-12-16,52792.25,111.05,52681.2,103
2009-12-17,31239.47,1921.68,29317.79,158
2009-12-18,42588.09,217.01,42371.08,76
2009-12-20,11450.68,115.45,11335.23,40
2009-12-21,16367.84,1791.77,14576.07,51
2009-12-22,28023.43,541.69,27481.74,66
2009-12-23,10871.1,128.42,10742.68,26
2010-01-04,13481.25,280.65,13200.6,42
2010-01-05,19199.29,96.95,19102.34,40
2010-01-06,8746.18,0.0,8746.18,14
2010-01-07,73085.74,777.82,72307.92,83
2010-01-08,30319.05,802.42,29516.63,47
2010-01-10,23688.6,168.68,23519.92,37
2010-01-11,37887.26,394.87,37492.39,63
2010-01-12,40856.53,165.7,40690.83,44
2010-01-13,22489.07,3089.14,19399.93,53
2010-01-14,31672.73,3129.45,28543.28,83
2010-01-15,13515.89,217.35,13298.54,50
2010-01-17,17578.24,12.3,17565.94,41
2010-01-18,21451.56,108.33,21343.23,46
2010-01-19,33352.56,364.69,32987.87,51
2010-01-20,19140.16,2400.65,16739.51,71
2010-01-21,27391.96,424.07,26967.89,63
2010-01-22,36814.82,2119.63,34695.19,51
2010-01-24,16070.24,26.39,16043.85,52
2010-01-25,23045.6,242.24,22803.36,64
2010-01-26,47243.84,1837.0,45406.84,135
2010-01-27,28703.6,223.22,28480.38,72
2010-01-28,19865.67,627.51,19238.16,72
2010-01-29,28403.98,10912.0,17491.98,73
2010-01-31,18704.68,254.55,18450.13,58
2010-02-01,19831.43,1313.28,18518.15,76
