StockCode,Description,ReturnRate,TotalUnits
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,0.0343,2853.0
79323P,PINK CHERRY LIGHTS,0.233,2974.0
79323W,WHITE CHERRY LIGHTS,0.2659,4092.0
22041,"RECORD FRAME 7"" SINGLE SIZE",0.0053,7903.0
21232,STRAWBERRY CERAMIC TRINKET BOX,0.0241,38538.0
22064,PINK DOUGHNUT TRINKET POT,0.0201,6849.0
21871,SAVE THE PLANET MUG,0.0645,12505.0
21523,FANCY FONT HOME SWEET HOME DOORMAT,0.0,663.0
22350,CAT BOWL,0.0011,948.0
22349,"DOG BOWL , CHASING BALL DESIGN",0.0157,766.0
22195,HEART MEASURING SPOONS LARGE,0.0,84.0
22353,LUNCHBOX WITH CUTLERY FAIRY CAKES,0.0102,1469.0
48173C,DOOR MAT BLACK FLOCK,0.0016,1253.0
21755,LOVE BUILDING BLOCK WORD,0.0084,5823.0
21754,HOME BUILDING BLOCK WORD,0.0049,7886.0
84879,ASSORTED COLOUR BIRD ORNAMENT,0.0062,82320.0
22119,PEACE WOODEN BLOCK LETTERS,0.0074,945.0
22142,CHRISTMAS CRAFT WHITE FAIRY,0.0041,4437.0
22296,HEART IVORY TRELLIS LARGE,0.0008,9982.0
22295,HEART FILIGREE DOVE LARGE,0.0068,8800.0
22109,FULL ENGLISH BREAKFAST PLATE,0.0222,3514.0
22107,PIZZA PLATE IN BOX,0.0691,1375.0
22194,BLACK DINER WALL CLOCK,0.0157,383.0
35004B,SET OF 3 BLACK FLYING DUCKS,0.0619,1599.0
82582,AREA PATROLLED METAL SIGN,0.0166,7766.0
21181,PLEASE ONE PERSON  METAL SIGN,0.0005,1870.0
21756,BATH BUILDING BLOCK WORD,0.0036,1677.0
21333,CLASSIC WHITE FRAME,0.0164,1100.0
84596F,SMALL MARSHMALLOWS PINK BOWL,0.0033,4778.0
84596L,BISCUITS SMALL BOWL LIGHT BLUE,0.0,1544.0
22111,SCOTTIE DOG HOT WATER BOTTLE,0.0208,10435.0
22143,CHRISTMAS CRAFT HEART DECORATIONS,0.0261,460.0
22145,CHRISTMAS CRAFT HEART STOCKING,0.0045,1346.0
22130,PARTY CONE CHRISTMAS DECORATION,0.0318,10299.0
21364,PEACE SMALL WOOD LETTERS,0.0042,478.0
21360,JOY LARGE WOOD LETTERS,0.0045,446.0
21351,CINAMMON & ORANGE WREATH,0.0216,1157.0
21352,EUCALYPTUS & PINECONE  WREATH,0.0119,928.0
35400,WOODEN BOX ADVENT CALENDAR,0.0612,1537.0
20695,FLORAL BLUE MONSTER,0.0272,147.0
37370,RETRO COFFEE MUGS ASSORTED,0.0081,7565.0
10002,INFLATABLE POLITICAL GLOBE,0.1216,10059.0
84507B,STRIPES DESIGN MONKEY DOLL,0.0052,1356.0
20703,BLUE PADDED SOFT MOBILE,0.0631,507.0
21987,PACK OF 6 SKULL PAPER CUPS,0.0447,6739.0
21989,PACK OF 20 SKULL PAPER NAPKINS,0.0678,9208.0
84970S,HANGING HEART ZINC T-LIGHT HOLDER,0.0046,27356.0
20971,PINK BLUE FELT CRAFT TRINKET BOX,0.1459,26496.0
22271,FELTCRAFT DOLL ROSIE,0.0577,5270.0
22272,FELTCRAFT DOLL MARIA,0.0007,1398.0
22274,FELTCRAFT DOLL EMILY,0.0189,3908.0
21912,VINTAGE SNAKES & LADDERS,0.0196,3876.0
22112,CHOCOLATE HOT WATER BOTTLE,0.0133,11712.0
21329,DINOSAURS  WRITING SET,0.0093,2146.0
21252,SET OF MEADOW  FLOWER STICKERS,0.0,168.0
21100,CHARLIE AND LOLA CHARLOTTE BAG,0.0016,2557.0
21033,JUMBO BAG CHARLIE AND LOLA TOYS,0.0024,4643.0
20711,JUMBO BAG TOYS,0.003,12876.0
21410,COUNTRY COTTAGE  DOORSTOP GREEN,0.0032,316.0
21411,GINGHAM HEART  DOORSTOP RED,0.0037,2139.0
84031A,CHARLIE+LOLA RED HOT WATER BOTTLE,0.0229,1181.0
84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE,0.0291,895.0
84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,0.011,3465.0
84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,0.0222,3508.0
84519A,TOMATO CHARLIE+LOLA COASTER SET,0.0,1208.0
84519B,CARROT CHARLIE+LOLA COASTER SET,0.0011,872.0
85132A,CHARLIE + LOLA BISCUITS TINS,0.0036,1382.0
85132C,CHARLIE AND LOLA FIGURES TINS,0.0058,2085.0
85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,0.0059,1521.0
85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,0.0193,1810.0
22065,CHRISTMAS PUDDING TRINKET POT,0.0052,8832.0
22138,BAKING SET 9 PIECE RETROSPOT,0.0842,10246.0
22139,RETRO SPOT TEA SET CERAMIC 11 PC,0.0844,4857.0
22352,LUNCHBOX WITH CUTLERY RETROSPOT,0.0234,1455.0
85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,0.0007,2982.0
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,0.0037,3476.0
16161P,WRAP ENGLISH ROSE,0.0019,13323.0
16169N,WRAP BLUE RUSSIAN FOLKART,0.0,2050.0
21491,SET OF THREE VINTAGE GIFT WRAPS,0.0173,2948.0
22333,RETRO SPORT PARTY BAG + STICKER SET,0.1209,3922.0
85216,ASSORTED CAKES FRIDGE MAGNETS,0.0168,2916.0
21493,VINTAGE DESIGN GIFT TAGS,0.0,272.0
21731,RED TOADSTOOL LED NIGHT LIGHT,0.0322,30705.0
85232B,SET/3 RUSSIAN DOLL STACKING TINS,0.0207,2026.0
84691,PACK 20 DOLLY PEGS,0.0289,2836.0
20749,ASSORTED COLOUR MINI CASES,0.0041,3169.0
POST,POSTAGE,0.0526,5764.0
22321,BIRD DECORATION RED SPOT,0.0,1267.0
84029E,RED WOOLLY HOTTIE WHITE HEART.,0.0072,11916.0
21955,UNION JACK GUNS & ROSES  DOORMAT,0.0026,768.0
84899E,YELLOW + BROWN BEAR FELT PURSE KIT,0.0,39.0
85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0363,100321.0
21582,KINGS CHOICE SMALL TUBE MATCHES,0.0,117.0
21586,KINGS CHOICE GIANT TUBE MATCHES,0.0181,2713.0
21590,KINGS CHOICE CIGAR BOX MATCHES,0.0075,3482.0
22091,EMPIRE TISSUE BOX,0.0169,3257.0
84251J,"GREETING CARD, THE BLACK CAT",0.0,74.0
22024,RAINY LADIES BIRTHDAY CARD,0.0065,5514.0
22026,BANQUET BIRTHDAY  CARD,0.0029,4078.0
22029,SPACE BOY BIRTHDAY CARD,0.0,835.0
22025,RING OF ROSES BIRTHDAY CARD,0.003,4023.0
22031,BOTANICAL LAVENDER BIRTHDAY CARD,0.0104,1149.0
21428,SET3 BOOK BOX GREEN GINGHAM FLOWER,0.0141,2981.0
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,0.0133,4815.0
21916,SET 12 RETRO WHITE CHALK STICKS,0.0198,11379.0
21790,VINTAGE SNAP CARDS,0.0072,28145.0
21888,BINGO SET,0.0274,3687.0
85178,VICTORIAN SEWING KIT,0.0508,5929.0
20754,RETRO RED SPOTTY WASHING UP GLOVES,0.0101,3172.0
21035,SET/2 RED SPOTTY TEA TOWELS,0.0008,2666.0
82001S,VINYL RECORD FRAME SILVER,0.004,2727.0
82580,BATHROOM METAL SIGN,0.0215,13695.0
85150,LADIES & GENTLEMEN METAL SIGN,0.003,8545.0
21041,RED SPOTTY OVEN GLOVE DOUBLE,0.0031,1288.0
35916C,PINK FELT HANGING HEART W FLOWER,0.0,159.0
35916B,BLUE FELT HANGING HEART W FLOWER,0.0,58.0
22180,RETRO SPOT LAMP,0.0395,532.0
22128,PARTY CONES CANDY ASSORTED,0.0138,4069.0
22163,HEART STRING MEMO HOLDER HANGING,0.0578,1367.0
35951,FOLKART BAUBLE CHRISTMAS DECORATION,0.0,1352.0
22253,6 CROCHET STRAWBERRIES,0.0,969.0
84988,SET OF 72 PINK HEART PAPER DOILIES,0.0076,8468.0
22219,LOVEBIRD HANGING DECORATION WHITE,0.0122,10057.0
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,0.1384,2110.0
21299,EDWARDIAN TOILET ROLL UNIT,0.0235,170.0
21099,SET/6 STRAWBERRY PAPER CUPS,0.0089,13508.0
21085,SET/6 WOODLAND PAPER CUPS,0.0,13732.0
