CustomerID,RecencyDays,Frequency,Monetary
12346,325,17,77556.46
12347,2,8,5633.32
12348,75,5,2019.4
12349,18,5,4428.69
12350,310,1,334.4
12351,375,1,300.93
12352,36,13,2849.84
12353,204,2,406.76
12354,232,1,1079.4
12355,214,2,947.61
12356,22,6,6373.68
12357,33,3,18287.66
12358,1,5,3887.07
12359,7,14,8935.94
12360,52,9,4252.89
12361,287,4,511.25
12362,3,14,5356.23
12363,109,2,552.0
12364,7,4,1313.1
12365,291,3,641.38
12366,633,1,500.24
12367,4,1,168.9
12368,628,1,917.7
12369,413,3,1791.15
12370,51,7,4320.31
12371,44,5,4067.38
12372,71,3,1298.04
12373,311,3,1127.65
12374,25,4,2989.22
12375,2,3,457.5
12376,389,2,503.15
12377,315,4,3426.32
12378,129,2,5416.32
12379,81,5,1620.22
12380,21,15,9676.3
12381,4,6,1845.31
12382,682,1,0.0
12383,184,6,1850.56
12384,28,3,585.27
12385,379,2,1938.4
12386,337,2,660.8
12387,415,1,143.94
12388,15,8,3901.11
12389,402,3,1433.33
12390,79,1,549.84
12391,21,7,2773.42
12392,591,1,234.75
12393,72,7,2399.45
12394,63,2,1272.48
12395,15,18,5067.27
12396,674,1,931.43
12397,35,2,2409.9
12398,45,1,1635.66
12399,119,7,1962.3
12400,414,1,205.25
12401,303,1,84.3
12402,323,7,1256.9
12403,49,3,1019.36
12404,682,1,63.24
12405,148,1,1710.39
12406,22,7,6390.36
12407,49,5,1708.12
12408,32,14,4340.77
12409,78,13,23419.29
12410,301,4,1013.71
12411,409,1,346.9
12412,74,8,2596.93
12413,66,6,999.45
12414,217,8,952.41
12415,24,33,144458.37
12416,656,1,202.56
12417,3,27,6816.91
12418,112,5,2021.2
12419,385,2,503.01
12420,63,1,600.39
12421,15,8,1098.6
12422,95,21,5231.8
12423,0,11,2622.39
12424,162,7,3340.03
12425,78,3,1741.41
12426,194,3,1345.21
12427,11,5,1129.3
12428,25,12,7956.46
12429,9,9,7485.91
12430,43,1,256.4
12431,35,33,10857.97
12432,42,5,5059.32
12433,0,11,20581.26
12434,84,5,1103.43
12435,79,6,13925.93
12436,99,1,509.01
12437,1,47,12683.4
12438,14,2,2906.85
12439,682,3,1158.18
12440,457,3,859.2
12441,366,1,347.1
12442,3,1,172.06
12443,732,1,485.31
12444,21,5,5005.46
12445,22,3,434.98
12446,57,1,1002.31
12447,243,1,476.49
12448,44,1,449.45
12449,22,6,4835.89
12450,156,7,688.2
12451,10,10,12669.88
12452,16,3,430.57
12453,134,1,707.09
12454,53,9,16679.78
12455,73,10,5879.95
12456,44,4,3181.04
12457,58,14,2995.91
12458,71,4,1777.49
12459,605,1,454.36
12460,456,1,326.65
12461,94,2,826.88
12462,2,4,1189.59
12463,46,7,1344.78
12464,10,8,1212.05
12465,7,3,742.19
12466,682,1,56.73
12467,386,2,132.8
12468,143,10,3670.74
12469,522,2,3070.54
12470,689,1,211.95
12471,2,129,39963.79
12472,30,37,17880.59
12473,29,9,3938.55
12474,17,54,12424.45
12475,53,2,1149.64
12476,1,38,14115.41
